Red,Green,Blue
0.292,0.375,0.333
0.273,0.394,0.333
0.245,0.415,0.34
0.239,0.413,0.348
0.241,0.407,0.352
0.25,0.409,0.341
0.25,0.4,0.35
0.269,0.385,0.346
0.257,0.4,0.343
0.245,0.415,0.34
0.245,0.408,0.347
0.25,0.411,0.339
0.25,0.409,0.341
0.269,0.385,0.346
0.255,0.404,0.34
0.241,0.407,0.352
0.239,0.413,0.348
0.245,0.408,0.347
0.241,0.407,0.352
0.25,0.404,0.346
0.25,0.4,0.35
0.25,0.4,0.35
0.239,0.413,0.348
0.246,0.404,0.351
0.25,0.411,0.339
0.239,0.413,0.348
0.25,0.404,0.346
0.269,0.385,0.346
0.245,0.415,0.34
0.239,0.413,0.348
0.25,0.411,0.339
0.25,0.411,0.339
0.239,0.413,0.348
0.278,0.389,0.333
0.3,0.4,0.3
0.25,0.409,0.341
0.245,0.415,0.34
0.25,0.411,0.339
0.245,0.408,0.347
0.25,0.411,0.339
0.246,0.404,0.351
0.245,0.408,0.347
0.241,0.407,0.352
0.25,0.404,0.346
0.25,0.393,0.357
0.244,0.415,0.341
0.255,0.404,0.34
0.246,0.404,0.351
0.255,0.4,0.345
0.241,0.407,0.352
0.25,0.404,0.346
0.25,0.409,0.341
0.255,0.4,0.345
0.255,0.4,0.345
0.241,0.407,0.352
0.278,0.389,0.333
0.25,0.409,0.341
0.255,0.404,0.34
0.25,0.411,0.339
0.244,0.4,0.356
0.256,0.395,0.349
0.255,0.4,0.345
0.255,0.404,0.34
0.25,0.409,0.341
0.263,0.421,0.316
0.256,0.41,0.333
0.273,0.394,0.333
0.292,0.375,0.333
0.273,0.409,0.318
0.257,0.4,0.343
0.244,0.415,0.341
0.257,0.4,0.343
0.257,0.4,0.343
0.257,0.4,0.343
0.267,0.4,0.333
0.278,0.389,0.333
0.316,0.368,0.316
0.261,0.391,0.348
0.245,0.408,0.347
0.25,0.404,0.346
0.239,0.413,0.348
0.25,0.409,0.341
0.245,0.415,0.34
0.256,0.395,0.349
0.25,0.417,0.333
0.267,0.4,0.333
0.286,0.381,0.333
0.235,0.412,0.353
0.267,0.4,0.333
0.256,0.395,0.349
0.25,0.4,0.35
0.286,0.381,0.333
0.267,0.4,0.333
0.267,0.4,0.333
0.292,0.375,0.333
0.239,0.413,0.348
0.259,0.407,0.333
0.257,0.4,0.343
0.244,0.415,0.341
0.245,0.408,0.347
0.244,0.415,0.341
0.256,0.41,0.333
0.273,0.394,0.333
0.286,0.381,0.333
0.286,0.381,0.333
0.261,0.391,0.348
0.286,0.381,0.333
0.267,0.4,0.333
0.258,0.387,0.355
0.243,0.405,0.351
0.243,0.405,0.351
0.25,0.409,0.341
0.245,0.415,0.34
0.255,0.404,0.34
0.256,0.395,0.349
0.267,0.4,0.333
0.25,0.404,0.346
0.244,0.4,0.356
0.239,0.413,0.348
0.257,0.4,0.343
0.25,0.409,0.341
0.241,0.407,0.352
0.257,0.4,0.343
